srodek_id,numer_inwentarzowy,nazwa,kategoria_kst,data_przyjecia,wartosc_poczatkowa,stawka_amortyzacji,lokalizacja,osoba_odpowiedzialna,dostawca_id,status
1,ST/00001,Triple-buffered tangible time-frame,3,2022-08-15,145425.33,30,Koszalin,pan Stefan Loska,541,zlikwidowany
2,ST/00002,Synergistic motivating open architecture,3,2024-06-13,128128.65,10,Olkusz,Dagmara Galon,291,zlikwidowany
3,ST/00003,Future-proofed cohesive support,3,2022-07-24,18157.37,18,Kętrzyn,Olga Nowek,708,w naprawie
4,ST/00004,Front-line incremental interface,4,2018-07-24,1872.5,20,Września,Daniel Częścik,1932,w naprawie
5,ST/00005,Persistent intermediate software,6,2021-11-27,149076.42,7,Zgierz,Rozalia Felisiak,1263,w użyciu
6,ST/00006,Stand-alone zero administration policy,6,2023-07-21,33529.79,10,Świdnica,Olgierd Pochopień,2077,zlikwidowany
7,ST/00007,Centralized mission-critical portal,3,2023-05-18,157913.31,30,Otwock,Kornelia Litwa,778,w użyciu
8,ST/00008,Face-to-face mission-critical methodology,3,2024-11-17,46712.99,14,Środa Wielkopolska,pan Krzysztof Batóg,295,w naprawie
9,ST/00009,Pre-emptive bi-directional instruction set,4,2024-01-30,40563.51,18,Świdnica,Julianna Sieradzan,1705,w naprawie
10,,Networked content-based software,4,2025-03-09,135215.57,20,Chojnice,pani Melania Gilewicz,168,w użyciu
11,ST/00011,Enhanced global portal,6,2023-11-06,90535.73,7,Konin,pani Urszula Wódka,399,w użyciu
12,ST/00012,Robust asynchronous hardware,8,2022-02-19,138224.93,10,Chojnice,pan Tadeusz Niewiara,1863,w naprawie
13,ST/00013,Profound client-server database,3,2025-01-25,44247.37,14,Radom,pan Mateusz Osada,1285,w użyciu
14,ST/00014,Cloned dedicated data-warehouse,3,2026-01-15,14070.94,14,Polkowice,Elżbieta Buława,1123,w użyciu
15,ST/00015,Digitized demand-driven throughput,4,2024-02-10,53328.45,18,Sopot,Jerzy Latoszek,1938,w użyciu
16,ST/00016,Optional object-oriented structure,8,2025-02-23,91891.9,20,Jelenia Góra,Ryszard Rodzeń,334,w użyciu
17,ST/00017,Reactive 24hour array,491,2024-03-21,29317.86,30,Sandomierz,Aurelia Naumiuk,193,zlikwidowany
18,ST/00018,Multi-channeled reciprocal pricing structure,6,2026-03-16,6907.92,30,Opole,Tymoteusz Kaczmarkiewicz,1489,zlikwidowany
19,ST/00019,Innovative intangible firmware,491,2025-12-10,126896.32,30,Białystok,Krzysztof Łuczkiewicz,1898,w użyciu
20,ST/00020,Quality-focused coherent neural-net,3,2020-03-05,74024.85,30,Malbork,Błażej Sadownik,1795,zlikwidowany
21,ST/00021,Multi-channeled optimizing hardware,6,2025-03-18,143369.76,18,Rybnik,Tymon Kiełek,1960,w naprawie
