umowa_id,numer_umowy,kontrahent_id,data_podpisania,data_rozpoczecia,data_zakonczenia,wartosc,waluta,status,opiekun
1,UM/2022/00001,1643,2022-07-25,2022-08-06,2024-10-05,391039.28,PLN,w przygotowaniu,Stanisław Lisik
2,UM/2024/00002,1023,2024-04-10,2024-04-11,2025-04-04,191413.43,PLN,aktywna,Kajetan Malon
3,UM/2023/00003,1830,2023-11-12,2023-11-28,2026-02-08,487627.99,PLN,zakończona,Adam Betlej
4,UM/2025/00004,1517,2025-06-18,2025-06-21,2026-02-16,482491.85,PLN,aktywna,Tobiasz Szywała
5,UM/2023/00005,968,2023-02-14,2023-02-26,2023-12-15,243355.26,PLN,zakończona,Mieszko Nazar
6,UM/2023/00006,1480,2023-08-21,2023-09-08,2026-08-29,328557.46,PLN,w przygotowaniu,pani Adrianna Frankowicz
7,UM/2022/00007,544,2022-09-01,2022-09-09,2023-08-28,435267.98,PLN,zakończona,Filip Zbylut
8,UM/2024/00008,1917,2024-03-28,2024-03-30,2025-09-17,295087.31,pln,zakończona,Maciej Pela
9,UM/2023/00009,1850,2023-04-08,2023-04-26,2025-05-27,490921.01,PLN,aktywna,Olaf Grzenia
10,UM/2021/00010,1253,2021-09-12,2021-09-22,2021-03-20,132722.08,PLN,aktywna,Kornelia Syldatk
11,UM/2022/00011,1138,2022-06-13,2022-06-22,2025-09-26,102485.45,PLN,w przygotowaniu,pani Bianka Dukat
12,UM/2024/00012,1545,2024-06-21,2024-07-09,2025-07-17,223989.06,PLN,w przygotowaniu,Roksana Fierek
13,UM/2023/00013,965,2023-02-02,2023-02-14,2024-01-17,194054.05,PLN,zakończona,pan Stanisław Szymanik
14,UM/2023/00001,1747,2025-10-23,2025-11-08,2029-02-28,302563.17,PLN,w przygotowaniu,pani Apolonia Trojanowicz
15,UM/2023/00015,34,2023-09-15,2023-10-01,2027-05-16,383239.07,PLN,w przygotowaniu,Stanisław Prasek
16,UM/2023/00016,323,2023-11-29,2023-12-08,2025-06-25,61978.77,PLN,w przygotowaniu,pani Marika Kuziora
17,UM/2022/00017,157,2022-11-06,2022-11-25,2024-12-16,143365.84,PLN,aktywna,Nikodem Kiryluk
18,UM/2025/00018,1193,2025-05-21,2025-05-29,2027-03-26,233765.93,PLN,aktywna,Anastazja Sapeta
19,UM/2024/00019,1855,2024-02-12,2024-02-16,2024-09-02,181788.27,PLN,zakończona,Przemysław Ryczko
20,UM/2023/00020,1968,2023-06-09,2023-06-26,2024-07-28,206570.43,PLN,aktywna,Krystian Chlebda
21,UM/2024/00021,1035,2024-11-22,2024-12-06,2027-01-19,413780.11,PLN,aktywna,pani Kornelia Nijak
22,UM/2024/00022,1136,2024-08-20,2024-08-21,2027-07-20,228730.58,PLN,aktywna,Roksana Grabias
23,UM/2026/00023,1007,2026-05-25,2026-06-13,2030-02-18,62829.37,PLN,zakończona,Sonia Maziarczyk
24,UM/2023/00024,980,2023-08-29,2023-09-12,2023-12-25,273523.01,PLN,w przygotowaniu,Daniel Stróż
25,UM/2026/00025,936,2026-06-23,2026-07-03,2026-12-03,207538.65,PLN,w przygotowaniu,Paweł Myszak
26,UM/2024/00026,77,2024-12-04,2024-12-21,2025-11-11,326434.92,PLN,zakończona,Olaf Leżoń
27,UM/2024/00027,1968,2024-07-08,2024-07-22,2027-07-30,1211.8,PLN,w przygotowaniu,pan Jakub Kutek
28,UM/2024/00028,121,2024-03-07,2024-03-10,2026-06-11,96503.37,PLN,w przygotowaniu,Julian Rompa
29,UM/2025/00029,883,2025-04-10,2025-04-29,2029-01-26,314333.5,PLN,zakończona,Iwo Rosłoń
